Basho,Dewanoumi,Fujishima,Futagoyama
1898.05,1-1,,
1899.01,1-1,,
1899.05,1-1,,
1900.01,2-2,,
1900.05,2-2,,
1901.01,2-2,,
1901.05,2-2,,
1902.01,1-1,,
1902.05,1-1,,
1903.01,3-3,,
1903.05,3-3,,
1904.01,3-3,,
1904.05,2-2,,
1905.01,3-3,,
1905.05,6-6,,
1906.01,7-6,,
1906.05,6-6,,
1907.01,7-6,,
1907.05,7-7,,
1908.01,8-8,,
1908.05,8-8,,
1909.01,10-9,,
1909.06,12-9,,
1910.01,15-9,,
1910.06,16-11,,
1911.02,16-12,,
1911.06,17-12,,
1912.01,18-12,,
1912.05,17-12,,
1913.01,19-15,,
1913.05,19-14,,
1914.01,21-17,,
1914.05,24-17,,
1915.01,24-16,,
1915.06,23-17,,
1916.01,26-16,,
1916.05,24-17,,
1917.01,24-18,,
1917.05,28-18,,
1918.01,27-18,,
1918.05,27-17,,
1919.01,30-18,,
1919.05,31-18,,
1920.01,33-18,,
1920.05,32-18,,
1921.01,37-20,,
1921.05,35-18,,
1922.01,35-20,,
1922.05,34-19,,
1923.01,37-22,,
1923.05,34-21,,
1924.01,33-19,,
1924.05,31-18,,
1925.01,33-20,,
1925.05,32-19,,
1926.01,36-19,,
1926.05,35-17,,
1927.01,31-15,,
1927.03,31-15,,
1927.05,29-17,,
1927.10,31-15,,
1928.01,34-19,,
1928.03,33-19,,
1928.05,32-19,,
1928.10,30-19,,
1929.01,31-24,,
1929.03,31-24,,
1929.05,30-22,,
1929.09,32-22,,
1930.01,35-26,,
1930.03,35-26,,
1930.05,39-28,,
1930.10,37-28,,
1931.01,37-30,,
1931.03,39-30,,
1931.05,35-27,,
1931.10,32-27,,
1932.01,32-27,,
1932.02,30-9,,
1932.03,28-9,,
1932.05,30-8,,
1932.10,29-8,,
1933.01,29-20,,
1933.05,28-20,,
1934.01,26-19,,
1934.05,38-21,,
1935.01,38-20,,
1935.05,37-20,,
1936.01,36-20,,
1936.05,35-17,,
1937.01,38-18,,
1937.05,39-18,,
1938.01,42-21,,
1938.05,45-23,,
1939.01,44-23,,
1939.05,45-25,,
1940.01,46-26,,
1940.05,49-27,,
1941.01,50-27,,
1941.05,50-27,,
1942.01,51-28,,
1942.05,51-27,,
1943.01,49-25,,
1943.05,47-27,,
1944.01,46-21,,
1944.05,42-20,,
1944.11,42-19,,
1945.06,35-18,,
1945.11,31-15,,
1946.11,26-12,,
1947.06,27-13,,
1947.11,27-15,,
1948.05,29-14,,
1948.10,29-15,,
1949.01,29-14,,
1949.05,29-16,,
1949.10,31-15,,
1950.01,33-16,,
1950.05,31-16,,
1950.09,31-15,,
1951.01,37-15,,
1951.05,38-16,,
1951.09,36-13,,
1952.01,39-14,,
1952.05,43-13,,
1952.09,41-13,,
1953.01,40-13,,
1953.03,38-13,,
1953.05,38-15,,
1953.09,35-14,,
