Basho,Dewanoumi,Fujishima
1898.05,1,null
1899.01,1,null
1899.05,1,null
1900.01,2,null
1900.05,2,null
1901.01,2,null
1901.05,2,null
1902.01,1,null
1902.05,1,null
1903.01,3,null
1903.05,3,null
1904.01,3,null
1904.05,2,null
1905.01,3,null
1905.05,6,null
1906.01,7,null
1906.05,6,null
1907.01,7,null
1907.05,7,null
1908.01,8,null
1908.05,8,null
1909.01,10,null
1909.06,12,null
1910.01,15,null
1910.06,16,null
1911.02,16,null
1911.06,17,null
1912.01,18,null
1912.05,17,null
1913.01,19,null
1913.05,19,null
1914.01,21,null
1914.05,24,null
1915.01,24,null
1915.06,23,null
1916.01,26,null
1916.05,24,null
1917.01,24,null
1917.05,28,null
1918.01,27,null
1918.05,27,null
1919.01,30,null
1919.05,31,null
1920.01,33,null
1920.05,32,null
1921.01,37,null
1921.05,35,null
1922.01,35,null
1922.05,34,null
1923.01,37,null
1923.05,34,null
1924.01,33,null
1924.05,31,null
1925.01,33,null
1925.05,32,null
1926.01,36,null
1926.05,35,null
1927.01,31,null
1927.03,31,null
1927.05,29,null
1927.10,31,null
1928.01,34,null
1928.03,33,null
1928.05,32,null
1928.10,30,null
1929.01,31,null
1929.03,31,null
1929.05,30,null
1929.09,32,null
1930.01,35,null
1930.03,35,null
1930.05,39,null
1930.10,37,null
1931.01,37,null
1931.03,39,null
1931.05,35,null
1931.10,32,null
1932.01,32,null
1932.02,30,null
1932.03,28,null
1932.05,30,null
1932.10,29,null
1933.01,29,null
1933.05,28,null
1934.01,26,null
1934.05,38,null
1935.01,38,null
1935.05,37,null
1936.01,36,null
1936.05,35,null
1937.01,38,null
1937.05,39,null
1938.01,42,null
1938.05,45,null
1939.01,44,null
1939.05,45,null
1940.01,46,null
1940.05,49,null
1941.01,50,null
1941.05,50,null
1942.01,51,null
1942.05,51,null
1943.01,49,null
1943.05,47,null
1944.01,46,null
1944.05,42,null
1944.11,42,null
1945.06,35,null
1945.11,31,null
1946.11,26,null
1947.06,27,null
1947.11,27,null
1948.05,29,null
1948.10,29,null
1949.01,29,null
1949.05,29,null
1949.10,31,null
1950.01,33,null
1950.05,31,null
1950.09,31,null
1951.01,37,null
1951.05,38,null
1951.09,36,null
1952.01,39,null
1952.05,43,null
1952.09,41,null
1953.01,40,null
1953.03,38,null
1953.05,38,null
1953.09,35,null
1954.01,35,null
1954.03,36,null
1954.05,37,null
1954.09,36,null
1955.01,39,null
1955.03,37,null
1955.05,38,null
1955.09,36,null
1956.01,36,null
1956.03,36,null
1956.05,39,null
1956.09,40,null
1957.01,41,null
1957.03,42,null
1957.05,39,null
1957.09,40,null
1957.11,40,null
1958.01,42,null
1958.03,42,null
1958.05,44,null
1958.07,44,null
1958.09,47,null
1958.11,45,null
1959.01,46,null
1959.03,46,null
1959.05,49,null
1959.07,48,null
1959.09,50,null
1959.11,50,null
1960.01,51,null
1960.03,50,null
1960.05,54,null
1960.07,54,null
1960.09,55,null
1960.11,56,null
1961.01,56,null
1961.03,59,null
1961.05,60,null
1961.07,64,null
1961.09,66,null
1961.11,66,null
1962.01,70,null
1962.03,69,null
1962.05,66,null
1962.07,63,null
1962.09,60,null
1962.11,60,null
1963.01,64,null
1963.03,68,null
1963.05,67,null
1963.07,66,null
1963.09,64,null
1963.11,62,null
1964.01,61,null
1964.03,60,null
1964.05,64,null
1964.07,64,null
1964.09,65,null
1964.11,65,null
1965.01,72,null
1965.03,71,null
1965.05,74,null
1965.07,68,null
1965.09,68,null
1965.11,67,null
1966.01,67,null
1966.03,70,null
1966.05,70,null
1966.07,69,null
1966.09,69,null
1966.11,70,null
1967.01,71,null
1967.03,53,null
1967.05,56,null
1967.07,52,null
1967.09,52,null
1967.11,51,null
1968.01,55,null
1968.03,54,null
1968.05,58,null
1968.07,57,null
1968.09,58,null
1968.11,53,null
1969.01,55,null
1969.03,52,null
1969.05,55,null
1969.07,51,null
1969.09,49,null
1969.11,47,null
1970.01,49,null
1970.03,47,null
1970.05,47,null
1970.07,47,null
1970.09,48,null
1970.11,50,null
1971.01,53,null
1971.03,52,null
1971.05,50,null
1971.07,50,null
1971.09,50,null
1971.11,51,null
1972.01,52,null
1972.03,52,null
1972.05,55,null
1972.07,50,null
1972.09,48,null
1972.11,45,null
1973.01,44,null
1973.03,45,null
1973.05,44,null
1973.07,44,null
1973.09,46,null
1973.11,45,null
1974.01,47,null
1974.03,52,null
1974.05,53,null
1974.07,53,null
1974.09,53,null
1974.11,47,null
1975.01,47,null
1975.03,50,null
1975.05,52,null
1975.07,51,null
1975.09,52,null
1975.11,53,null
1976.01,53,null
1976.03,59,null
1976.05,59,null
1976.07,55,null
1976.09,52,null
1976.11,52,null
1977.01,51,null
1977.03,54,null
1977.05,49,null
1977.07,49,null
1977.09,48,null
1977.11,46,null
1978.01,45,null
1978.03,49,null
1978.05,48,null
1978.07,47,null
1978.09,47,null
1978.11,47,null
1979.01,48,null
1979.03,48,null
1979.05,49,null
1979.07,49,null
1979.09,49,null
1979.11,45,null
1980.01,44,null
1980.03,45,null
1980.05,45,null
1980.07,42,null
1980.09,44,null
1980.11,41,null
1981.01,42,null
1981.03,47,null
1981.05,47,null
1981.07,45,null
1981.09,41,5
1981.11,40,5
1982.01,40,6
1982.03,41,13
1982.05,41,13
1982.07,37,11
1982.09,37,11
1982.11,36,11
1983.01,37,11
1983.03,40,14
1983.05,39,14
1983.07,39,14
1983.09,36,14
1983.11,36,14
1984.01,36,15
1984.03,39,20
1984.05,38,19
1984.07,36,19
1984.09,36,18
1984.11,36,18
1985.01,36,18
1985.03,39,21
1985.05,40,21
1985.07,40,21
1985.09,39,21
1985.11,36,21
1986.01,34,21
1986.03,35,24
1986.05,35,24
1986.07,36,23
1986.09,34,23
1986.11,34,20
1987.01,34,21
1987.03,36,25
1987.05,36,25
1987.07,33,23
1987.09,32,23
1987.11,32,22
1988.01,33,22
1988.03,31,23
1988.05,31,23
1988.07,31,23
1988.09,30,23
1988.11,29,23
1989.01,30,23
1989.03,34,25
1989.05,34,24
1989.07,33,24
1989.09,33,25
1989.11,34,25
1990.01,34,23
1990.03,35,25
1990.05,35,24
1990.07,34,24
1990.09,33,24
1990.11,32,24
1991.01,32,22
1991.03,36,23
1991.05,38,23
1991.07,36,23
1991.09,34,22
1991.11,31,23
1992.01,31,24
1992.03,37,31
1992.05,38,30
1992.07,39,30
1992.09,41,31
1992.11,39,31
1993.01,37,34
1993.03,38,35
1993.05,37,32
1993.07,38,27
1993.09,36,25
1993.11,37,25
1994.01,38,28
1994.03,39,30
1994.05,38,30
1994.07,39,30
1994.09,38,30
1994.11,36,30
1995.01,37,31
1995.03,36,34
1995.05,36,32
1995.07,37,31
1995.09,37,31
1995.11,36,30
1996.01,35,30
1996.03,38,34
1996.05,38,33
1996.07,38,32
1996.09,38,30
1996.11,34,30
1997.01,36,30
1997.03,36,33
1997.05,38,33
1997.07,37,32
1997.09,38,31
1997.11,34,31
1998.01,33,32
1998.03,34,33
1998.05,35,33
1998.07,32,32
1998.09,30,31
1998.11,29,31
1999.01,28,32
1999.03,28,30
1999.05,29,29
1999.07,27,30
1999.09,27,30
1999.11,27,30
2000.01,27,30
2000.03,27,32
2000.05,26,32
2000.07,24,31
2000.09,22,31
2000.11,20,31
2001.01,19,31
2001.03,21,35
2001.05,22,30
2001.07,21,29
2001.09,20,30
2001.11,20,30
2002.01,20,30
2002.03,20,32
2002.05,20,31
2002.07,20,31
2002.09,21,31
2002.11,21,30
