Basho,Oguruma,Kagamiyama,Azumazeki,Minezaki,Nakagawa,Izutsu,Takanohana,Kasugayama,Asahiyama,Mihogaseki,Magaki,Hanaregoma,Nishonoseki,Nakamura,Hanakago,Oshima,Tagonoura,Takashima,Kiriyama,Araiso
1917.05,,,,,,,,,1-0-Y Onishiki--4-,,,,,,,,,,,
1918.01,,,,,,,,,1-0-OS Futasegawa-HT-4-,,,,,,,,,,,
1918.05,,,,,,,,,1-0-OS Futasegawa--4-,,,,,,,,,,,
1919.01,,,,,,,,,1-0-OS Futasegawa--4-,,,,,,,,,,,
1919.05,,,,,,,,,1-0-OS Futasegawa--4-,,,,,,,,,,,
1920.01,,,,,,,,,1-0-OS Futasegawa--4-,,,,,,,,,,,
1920.05,,,,,,,,,1-0-OS Futasegawa--4-,,,,,,,,,,,
1921.01,,,,,,,,,1-0-OS Futasegawa--4-,,,,,,,,,,,
1921.05,,,,,,,,,1-0-OS Futasegawa--4-,,,,,,,,,,,
1922.01,,,,,,,,,1-0-OS Futasegawa--4-,,,,,,,,,,,
1922.05,,,,,,,,,1-0-OS Futasegawa--4-,,,,,,,,,,,
1923.01,,,,,,,,,1-0-OS Futasegawa--4-,,,,,,,,,,,
1923.05,,,,,,,,,1-0-OS Futasegawa--4-,,,,,,,,,,,
1924.01,,,,,,,,,2-1-OS Futasegawa--4-,,,,,,,,,,,
1924.05,,,,,,,,,2-0-OS Futasegawa--4-,,,,,,,,,,,
1925.01,,,,,,,,,2-0-OS Futasegawa--4-,,,,,,,,,,,
1925.05,,,,,,,,,2-0-OS Futasegawa--4-,,,,,,,,,,,
1926.01,,,,,,,,,2-0-OS Futasegawa--4-,,,,,,,,,,,
1926.05,,,,,,,,,2-0-OS Futasegawa--4-,,,,,,,,,,,
1927.01,,,,,,,,,5-3-OS Futasegawa--4-,,,,,,,,,,,
1927.03,,,,,,,,,4-3-OS Futasegawa--4-,,,,,,,,,,,
1927.05,,,,,,,,,3-2-OS Futasegawa--4-,,,,,,,,,,,
1927.10,,,,,,,,,4-3-OS Futasegawa--4-,,,,,,,,,,,
1928.01,,,,,,,,,3-2-OS Futasegawa--4-,,,,,,,,,,,
1928.03,,,,,,,,,4-3-OS Futasegawa--4-,,,,,,,,,,,
1928.05,,,,,,,,,3-2-OS Futasegawa--4-,,,,,,,,,,,
1928.10,,,,,,,,,3-2-OS Futasegawa--4-,,,,,,,,,,,
1929.01,,,,,,,,,3-2-OS Futasegawa--4-,,,,,,,,,,,
1929.03,,,,,,,,,4-2-OS Futasegawa--4-,,,,,,,,,,,
1929.05,,,,,,,,,4-3-OS Futasegawa--4-,,,,,,,,,,,
1929.09,,,,,,,,,3-3-OS Futasegawa--4-,,,,,,,,,,,
1930.01,,,,,,,,,3-2-OS Futasegawa--4-,,,,,,,,,,,
1930.03,,,,,,,,,3-2-OS Futasegawa--4-,,,,,,,,,,,
1930.05,,,,,,,,,4-2-OS Futasegawa--4-,,,,,,,,,,,
1930.10,,,,,,,,,3-2-OS Futasegawa--4-,,,,,,,,,,,
1931.01,,,,,,,,,2-2-OS Futasegawa--4-,,,,,,,,,,,
1931.03,,,,,,,,,2-2-OS Futasegawa--4-,,,,,,,,,,,
1931.05,,,,,,,,,3-1-OS Futasegawa--4-,,,,,,,,,,,
1931.10,,,,,,,,,3-1-OS Futasegawa--4-,,,,,,,,,,,
1932.01,,,,,,,,,2-1-OS Futasegawa--4-,,,,,,,,,,,
1932.02,,,,,,,,,2-0-OS Futasegawa--4-,,,,,,,,,,,
1932.03,,,,,,,,,3-0-OS Futasegawa--4-,,,,,,,,,,,
1932.05,,,,,,,,,2-0-OS Futasegawa--4-,,,,,,,,,,,
1932.10,,,,,,,,,3-0-OS Futasegawa--4-,,,,,,,,,,,
1933.01,,,,,,,,,2-1-OS Futasegawa--4-,,,,,,,,,,,
1933.05,,,,,,,,,3-1-OS Futasegawa--4-,,,,,,,,,,,
1934.01,,,,,,,,,3-2-OS Futasegawa--4-,,,,,,,,,,,
1934.05,,,,,,,,,8-2-OS Futasegawa--4-,,,,6-3-Y Tamanishiki-HB-60-,,,,,,,
1935.01,,,,,,,,,8-1-OS Futasegawa--4-,,,,7-3-Y Tamanishiki--60-,,,,,,,
1935.05,,,,,,,,,9-1-OS Futasegawa--4-,,,,7-3-Y Tamanishiki--60-,,,,,,,
1936.01,,,,,,,,,9-1-OS Futasegawa--4-,,,,11-3-Y Tamanishiki--60-,,,,,,,
1936.05,,,,,,,,,9-1-OS Futasegawa--4-,,,,10-4-Y Tamanishiki--60-,,,,,,,
1937.01,,,,,,,,,9-1-OS Futasegawa--4-,,,,12-3-Y Tamanishiki--60-,,,,,,,
1937.05,,,,,,,,,7-1-OS Futasegawa--4-,,,,14-3-Y Tamanishiki--60-,,,,,,,
1938.01,,,,,,,,,7-2-OS Futasegawa--4-,,,,15-4-Y Tamanishiki--60-,,,,,,,
1938.05,,,,,,,,,8-2-OS Futasegawa--4-,,,,17-4-Y Tamanishiki--60-,,,,,,,
1939.01,,,,,,,,,8-2-OS Futasegawa--4-,,,,17-4-S Tamanoumi-HT-60-,,,,,,,
1939.05,,,,,,,,,8-3-OS Futasegawa--4-,,,,16-3-S Tamanoumi--60-,,,,,,,
1940.01,,,,,,,,,8-3-OS Futasegawa--4-,,,,17-3-S Tamanoumi--60-,,,,,,,
1940.05,,,,,,,,,8-4-OS Futasegawa--4-,,,,19-3-S Tamanoumi--60-,,,,,,,
1941.01,,,,,,,,,8-3-OS Futasegawa--4-,,,,19-4-S Tamanoumi--60-,,,,,,,
1941.05,,,,,,,,,8-4-OS Futasegawa--4-,,,,20-5-S Tamanoumi--60-,,,,,,,
1942.01,,,,,,,,,8-3-OS Futasegawa--4-,,,,20-6-S Tamanoumi--60-,,,,,,,
1942.05,,,,,,,,,7-4-OS Futasegawa--4-,,,,19-5-S Tamanoumi--60-,,,,,,,
1943.01,,,,,,,,,7-4-OS Futasegawa--4-,,,,18-9-S Tamanoumi--60-,,,,,,,
1943.05,,,,,,,,,6-3-OS Futasegawa--4-,,,,19-10-S Tamanoumi--60-,,,,,,,
1944.01,,,,,,,,,6-3-S Futasegawa-HT-4-,,,,21-9-S Tamanoumi--60-,,,,,,,
1944.05,,,,,,,,,6-3-S Futasegawa--4-,,,,22-8-S Tamanoumi--60-,,,,,,,
1944.11,,,,,,,,,6-3-S Futasegawa--4-,,,,22-10-S Tamanoumi--60-,,,,,,,
1945.06,,,,,,,,,6-3-S Futasegawa--4-,,,,21-9-S Tamanoumi--60-,,,,,,,
1945.11,,,,,,,,,6-3-S Futasegawa--4-,,,,22-11-S Tamanoumi--60-,,,,,,,
1946.11,,,,,,,,,7-3-S Futasegawa--4-,,,,28-10-S Tamanoumi--60-,,,,,,,
1947.06,,,,,,,,,7-4-S Futasegawa--4-,,,,29-11-S Tamanoumi--60-,,,,,,,
1947.11,,,,,,,,,6-3-S Futasegawa--4-,,,,33-11-S Tamanoumi--60-,,,,,,,
1948.05,,,,,,,,,6-3-S Futasegawa--4-,,,,33-9-S Tamanoumi--60-,,,,,,,
1948.10,,,,,,,,,6-3-S Futasegawa--4-,,,,33-9-S Tamanoumi--60-,,,,,,,
1949.01,,,,,,,,,6-3-S Futasegawa--4-,,,,32-10-S Tamanoumi--60-,,,,,,,
1949.05,,,,,,,,,5-2-S Futasegawa--4-,,,,35-11-S Tamanoumi--60-,,,,,,,
1949.10,,,,,,,,,6-2-S Futasegawa--4-,,,,35-11-S Tamanoumi--60-,,,,,,,
